crime_id,district,police_station,crime_type,date,latitude,longitude,victim_age,offender_age,status,repeat_offender
CR000001,Kalaburagi,Kalaburagi PS 4,Vehicle Theft,2023-09-28,17.362084,76.910451,56,36,Closed,0
CR000002,Ballari,Ballari PS 5,Assault,2025-05-21,15.110356,76.895142,38,50,Charge Sheet Filed,0
CR000003,Tumakuru,Tumakuru PS 1,Cybercrime,2023-02-28,13.314309,77.095126,33,32,Under Investigation,0
CR000004,Belagavi,Belagavi PS 4,Robbery,2023-09-01,15.822481,74.503246,68,24,Open,0
CR000005,Mysuru,Mysuru PS 4,Theft,2023-11-12,12.194464,76.695371,43,19,Charge Sheet Filed,0
CR000006,Kalaburagi,Kalaburagi PS 4,Vehicle Theft,2025-02-14,17.370827,76.773258,19,23,Under Investigation,0
CR000007,Mangaluru,Mangaluru PS 5,Robbery,2024-02-06,12.925032,74.900088,65,32,Charge Sheet Filed,0
CR000008,Tumakuru,Tumakuru PS 5,Drug Offence,2025-01-18,13.379585,77.074093,43,42,Charge Sheet Filed,0
CR000009,Tumakuru,Tumakuru PS 5,Robbery,2025-03-23,13.307054,77.131584,41,28,Closed,0
CR000010,Belagavi,Belagavi PS 3,Theft,2024-01-14,15.839342,74.466526,58,45,Closed,1
CR000011,Mysuru,Mysuru PS 1,Drug Offence,2024-05-17,12.240483,76.57959,52,61,Charge Sheet Filed,0
CR000012,Belagavi,Belagavi PS 1,Cybercrime,2024-09-04,15.803012,74.53691,31,56,Closed,0
CR000013,Vijayapura,Vijayapura PS 2,Assault,2024-04-05,16.837724,75.704329,66,49,Charge Sheet Filed,1
CR000014,Kalaburagi,Kalaburagi PS 5,Robbery,2023-06-20,17.410846,76.875487,45,19,Under Investigation,1
CR000015,Tumakuru,Tumakuru PS 5,Fraud,2025-03-06,13.314412,77.126663,47,28,Charge Sheet Filed,1
CR000016,Tumakuru,Tumakuru PS 1,Theft,2024-01-12,13.273431,77.050046,23,25,Closed,0
CR000017,Shivamogga,Shivamogga PS 1,Cybercrime,2023-08-22,13.952547,75.559797,71,49,Charge Sheet Filed,0
CR000018,Dharwad,Dharwad PS 1,Fraud,2024-05-11,15.416599,74.966676,56,19,Closed,0
CR000019,Bengaluru Urban,Bengaluru PS 1,Cybercrime,2023-04-23,12.968381,77.611845,40,54,Charge Sheet Filed,1
